Results for 108th Congress,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,congress,Results for 109th Congress,Results for 110th Congress,Results for 111th Congress,Results for 112th Congress,Results for 113th Congress,Results for 114th Congress,Results for 115th Congress,Results for 116th Congress,Results for 117th Congress,Results for 118th Congress,education_category,party_simplified,gender_simplified,education_ordered
,Mike,,,,06/27/1941,,2,U.S. Representative,Democrat,CA,17,01/03/2013,01/03/2017,Protestant,Asian American,Master's degree,Education,,,,,Did not serve,,,114,,,,,,Honda,,,,,Unknown,Democrat,Male,Unknown
,Steny,Hamilton,,,06/14/1939,,2,U.S. Representative,Democrat,MD,5,05/19/1981,01/03/2025,Baptist,White,Professional degree,Law,,,,,Did not serve,,,114,,,,,,Hoyer,,,,,Unknown,Democrat,Male,Unknown
,Richard,,,,11/04/1971,,2,U.S. Representative,Republican,NC,8,01/20/2013,01/03/2025,Christian,White,Bachelor's degree,Business or banking,Congressional Aide,Public service/politics,,,Did not serve,,,114,,,,,,Hudson,,,,,Unknown,Republican,Male,Unknown
,Tim,,,,11/11/1968,,2,U.S. Representative,Republican,KS,1,01/03/2011,01/03/2017,Roman Catholic,White,Doctorate degree,Public service/politics,,,,,Did not serve,,,114,,,,,,Huelskamp,,,,,Unknown,Republican,Male,Unknown
,Jared,,,,02/18/1964,,2,U.S. Representative,Democrat,CA,2,01/20/2013,01/03/2025,Humanist,White,Professional degree,Law,,,,,Did not serve,,,114,,,,,,Huffman,,,,,Unknown,Democrat,Male,Unknown
,Bill,,,,01/31/1969,,2,U.S. Representative,Republican,MI,2,01/20/2011,01/03/2025,Christian Reformed,White,Bachelor's degree,Real Estate,,,,,Did not serve,,,114,,,,,,Huizenga,,,,,Unknown,Republican,Male,Unknown
,Randy,,,,03/01/1966,,2,U.S. Representative,Republican,IL,14,01/03/2011,01/03/2019,Protestant,White,Doctorate degree,Business or banking,,,,,Did not serve,,,114,,,,,,Hultgren,,,,,Unknown,Republican,Male,Unknown
,Duncan,Duane,,,12/07/1976,,2,U.S. Representative,Republican,CA,50,01/03/2013,01/13/2020,Protestant,White,Bachelor's degree,Real Estate,,,,,Marine Corps,Marine Corps Reserve,,114,,,,,,Hunter,,,,,Unknown,Republican,Male,Unknown
,Will,,,,08/19/1977,,2,U.S. Representative,Republican,TX,23,01/03/2015,01/03/2021,Christian,African American,Bachelor's degree,Computers/technology,Public service/politics,,,,Did not serve,,,114,,,,,,Hurd,,,,,Unknown,Republican,Male,Unknown
,Robert,,,,06/16/1969,,2,U.S. Representative,Republican,VA,5,01/03/2011,01/03/2017,Presbyterian,White,Professional degree,Law,,,,,Did not serve,,,114,,,,,,Hurt,,,,,Unknown,Republican,Male,Unknown
,James,Mountain,,,11/17/1934,,2,U.S. Senator,Republican,OK,,11/16/1994,01/03/2023,Presbyterian,White,Bachelor's degree,Business or banking,Public service/politics,Real Estate,,,Army,,,114,,,,,,Inhofe,,,,,Unknown,Republican,Male,Unknown
,Johnny,,,,12/24/1944,,2,U.S. Senator,Republican,GA,,01/03/2005,12/31/2019,Methodist,White,Bachelor's degree,Real Estate,,,,,Did not serve,,,114,,,,,,Isakson,,,,,Unknown,Republican,Male,Unknown
,Steven,,,,06/30/1958,,2,U.S. Representative,Democrat,NY,3,01/03/2013,01/03/2017,Jewish,White,Bachelor's degree,Business or banking,,,,,Did not serve,,,114,,,,,,Israel,,,,,Unknown,Democrat,Female,Unknown
,Darrell,,,,11/01/1953,,2,U.S. Representative,Republican,CA,49,01/03/2003,01/03/2019,Greek Orthodox,White,Bachelor's degree,Business or banking,,,,,Did not serve,,,114,,,,,,Issa,,,,,Unknown,Republican,Male,Unknown
,Sheila,,,,01/12/1950,07/19/2024,1,U.S. Representative,Democrat,TX,18,01/03/1995,07/19/2024,Seventh-Day Adventist,African American,Professional degree,Congressional Aide,Law,Public service/politics,,,Did not serve,,,114,,,,,,Jackson-Lee,,,,,Unknown,Democrat,Male,Unknown
,Hakeem,,,,08/04/1970,,2,U.S. Representative,Democrat,NY,8,01/20/2013,01/03/2025,Baptist,African American,Professional degree,Law,,,,,Did not serve,,,114,,,,,,Jeffries,,,,,Unknown,Democrat,Male,Unknown
,Evan,,,,09/12/1960,,2,U.S. Representative,Republican,WV,3,01/03/2015,01/03/2019,Presbyterian,White,Professional degree,Law,Public service/politics,,,,Did not serve,,,114,,,,,,Jenkins,,,,,Unknown,Republican,Male,Unknown
,Lynn,,,,06/10/1963,,1,U.S. Representative,Republican,KS,2,01/06/2009,01/03/2019,United Methodist,White,Bachelor's degree,Business or banking,,,,,Did not serve,,,114,,,,,,Jenkins,,,,,Unknown,Republican,Female,Unknown
,Bill,,,,11/10/1954,,2,U.S. Representative,Republican,OH,6,01/20/2011,01/21/2024,Protestant,White,Master's degree,Business or banking,,,,,U.S. Air Force,,,114,,,,,,Johnson,,,,,Unknown,Republican,Male,Unknown
,Eddie,Bernice,,,12/03/1935,,1,U.S. Representative,Democrat,TX,30,01/03/1993,01/03/2023,Baptist,African American,Master's degree,Business or banking,Misc.,,,,Did not serve,,,114,,,,,,Johnson,,,,,Unknown,Democrat,Male,Unknown
,Henry,,Jr.,Hank,10/02/1954,,2,U.S. Representative,Democrat,GA,4,01/20/2007,01/03/2025,Buddhist,African American,Professional degree,Law,,,,,Did not serve,,,114,,,,,,Johnson,,,,,Unknown,Democrat,Male,Unknown
,Ron,,,,04/08/1955,,2,U.S. Senator,Republican,WI,,01/03/2011,01/03/2029,Lutheran,White,Bachelor's degree,Business or banking,,,,,Did not serve,,,114,,,,,,Johnson,,,,,Unknown,Republican,Male,Unknown
,Sam,,,,10/11/1930,05/27/2020,2,U.S. Representative,Republican,TX,3,05/08/1991,01/03/2019,Methodist,White,Bachelor's degree,Construction/building trades,Military,,,,Air Force,,,114,,,,,,Johnson,,,,,Unknown,Republican,Male,Unknown
,David,,,,10/31/1972,,2,U.S. Representative,Republican,FL,13,03/13/2014,01/03/2017,Baptist,White,Professional degree,Law,,,,,Did not serve,,,114,,,,,,Jolly,,,,,Unknown,Republican,Male,Unknown
,Walter,Beaman,Jr.,,02/10/1943,02/10/2019,2,U.S. Representative,Republican,NC,3,01/04/1995,02/10/2019,Roman Catholic,White,Bachelor's degree,Business or banking,,,,,National Guard-North Carolina,,,114,,,,,,Jones,,,,,Unknown,Republican,Male,Unknown
,Jim,,,,02/17/1964,,2,U.S. Representative,Republican,OH,4,01/20/2007,01/03/2025,Christian,White,Professional degree,Sports,,,,,Did not serve,,,114,,,,,,Jordan,,,,,Unknown,Republican,Male,Unknown
,David,,,,03/17/1957,,2,U.S. Representative,Republican,OH,14,01/20/2013,01/03/2025,Roman Catholic,White,Professional degree,Law,,,,,Did not serve,,,114,,,,,,Joyce,,,,,Unknown,Republican,Male,Unknown
,Tim,,,,02/26/1958,,2,U.S. Senator,Democrat,VA,,01/20/2013,01/03/2025,Roman Catholic,White,Professional degree,Law,,,,,Did not serve,,,114,,,,,,Kaine,,,,,Unknown,Democrat,Male,Unknown
,Marcia,Carolyn,,Marcy,06/17/1946,,1,U.S. Representative,Democrat,OH,9,01/03/1983,01/03/2025,Roman Catholic,White,Master's degree,Public service/politics,,,,,Did not serve,,,114,,,,,,Kaptur,,,,,Unknown,Democrat,Male,Unknown
,John,,,,11/09/1962,,2,U.S. Representative,Republican,NY,24,01/20/2015,01/03/2023,Roman Catholic,White,Professional degree,Law,,,,,Did not serve,,,114,,,,,,Katko,,,,,Unknown,Republican,Male,Unknown
,William,R.,,Bill,09/06/1952,,2,U.S. Representative,Democrat,MA,9,01/20/2013,01/03/2025,Roman Catholic,White,Professional degree,Law,,,,,Did not serve,,,114,,,,,,Keating,,,,,Unknown,Democrat,Male,Unknown
,Mike,,,,05/10/1948,,2,U.S. Representative,Republican,PA,3,01/03/2011,01/03/2019,Roman Catholic,White,Bachelor's degree,Business or banking,,,,,Did not serve,,,114,,,,,,Kelly,,,,,Unknown,Republican,Male,Unknown
,Robin,,,,04/30/1956,,1,U.S. Representative,Democrat,IL,2,04/09/2013,01/03/2025,Nondenominational,African American,Doctorate degree,Public service/politics,,,,,,,,114,,,,,,Kelly,,,,,Unknown,Democrat,Male,Unknown
,Trent,,,,03/06/1966,,2,U.S. Representative,Republican,MS,1,06/02/2015,01/03/2025,Christian,White,Professional degree,Law,,,,,Miss. National Guard,,,114,,,,,,Kelly,,,,,Unknown,Republican,Female,Unknown
,Joseph,Patrick,III,Joe,10/04/1980,,2,U.S. Representative,Democrat,MA,4,01/03/2013,01/03/2021,Roman Catholic,White,Professional degree,Law,Public service/politics,,,,Did not serve,,,114,,,,,,Kennedy,,,,,Unknown,Democrat,Male,Unknown
,Dan,,,,08/11/1958,,2,U.S. Representative,Democrat,MI,5,01/20/2013,01/03/2025,Roman Catholic,White,Bachelor's degree,Misc.,,,,,Did not serve,,,114,,,,,,Kildee,,,,,Unknown,Democrat,Male,Unknown
,Derek,,,,01/01/1974,,2,U.S. Representative,Democrat,WA,6,01/20/2013,01/03/2025,Methodist,White,Doctorate degree,Business or banking,Public service/politics,,,,Did not serve,,,114,,,,,,Kilmer,,,,,Unknown,Democrat,Female,Unknown
,Ron,,,,03/16/1963,,2,U.S. Representative,Democrat,WI,3,01/03/1997,01/03/2023,Lutheran,White,Professional degree,Law,,,,,Did not serve,,,114,,,,,,Kind,,,,,Unknown,Democrat,Male,Unknown
,Angus,,Jr.,,03/31/1944,,2,U.S. Senator,Independent,ME,,01/20/2013,01/03/2025,Episcopalian,White,Professional degree,Business or banking,Congressional Aide,Law,,,Did not serve,,,114,,,,,,King,,,,,Unknown,Other,Male,Unknown
,Peter,Thomas,,,04/05/1944,,2,U.S. Representative,Republican,NY,2,01/03/2013,01/03/2021,Roman Catholic,White,Professional degree,Law,,,,,National Guard,,,114,,,,,,King,,,,,Unknown,Republican,Male,Unknown
,Steve,,,,05/28/1949,,2,U.S. Representative,Republican,IA,4,01/03/2013,01/03/2021,Roman Catholic,White,High School graduate,Business or banking,,,,,Did not serve,,,114,,,,,,King,,,,,Unknown,Republican,Male,Unknown
,Adam,,,,02/27/1978,,2,U.S. Representative,Republican,IL,16,01/20/2013,01/03/2023,Protestant,White,Bachelor's degree,Military,,,,,U.S. Air Force,,,114,,,,,,Kinzinger,,,,,Unknown,Republican,Male,Unknown
,Mark,Steven,,,09/15/1959,,2,U.S. Senator,Republican,IL,,11/29/2010,01/03/2017,Congregationalist,White,Professional degree,Law,,,,,Did not serve,,,114,,,,,,Kirk,,,,,Unknown,Republican,Male,Unknown
,Ann,,,,03/24/1950,,1,U.S. Representative,Democrat,AZ,1,01/03/2013,01/03/2017,Roman Catholic,White,Professional degree,Law,,,,,Did not serve,,,114,,,,,,Kirkpatrick,,,,,Unknown,Democrat,Male,Unknown
,John,,,,09/06/1947,,2,U.S. Representative,Republican,MN,2,01/03/2003,01/03/2017,Methodist,White,Master's degree,Military,,,,,Marine Corps,,,114,,,,,,Kline,,,,,Unknown,Republican,Male,Unknown
,Amy,,,,05/25/1960,,1,U.S. Senator,Democrat,MN,,01/20/2007,01/03/2025,Congregationalist,White,Professional degree,Law,,,,,Did not serve,,,114,,,,,,Klobuchar,,,,,Unknown,Democrat,Male,Unknown
,Steve,,,,12/17/1966,,2,U.S. Representative,Republican,CA,25,01/03/2015,01/03/2019,Roman Catholic,White,Associate degree,Law Enforcement,,,,,Army,Army Reserve,,114,,,,,,Knight,,,,,Unknown,Republican,Female,Unknown
,Ann,McLane,,,09/05/1956,,1,U.S. Representative,Democrat,NH,2,01/20/2013,01/03/2025,Christian,White,Professional degree,Congressional Aide,Law,,,,Did not serve,,,114,,,,,,Kuster,,,,,Unknown,Democrat,Female,Unknown
,Raul,R.,,,12/08/1967,,2,U.S. Representative,Republican,ID,1,01/03/2011,01/03/2019,Mormon,Hispanic,Professional degree,Law,,,,,Did not serve,,,114,,,,,,Labrador,,,,,Unknown,Republican,Male,Unknown
,Darin,,,,07/05/1968,,2,U.S. Representative,Republican,IL,18,09/10/2015,01/03/2025,Roman Catholic,White,Professional degree,Law,,,,,,,,114,,,,,,LaHood,,,,,Unknown,Republican,Female,Unknown
,Doug,,,,07/02/1960,,2,U.S. Representative,Republican,CA,1,01/20/2013,01/03/2025,Christian,White,Bachelor's degree,Agriculture,,,,,Did not serve,,,114,,,,,,LaMalfa,,,,,Unknown,Republican,Male,Unknown
,Doug,,,,05/24/1954,,2,U.S. Representative,Republican,CO,5,01/20/2007,01/03/2025,Christian,White,Professional degree,Law,,,,,Did not serve,,,114,,,,,,Lamborn,,,,,Unknown,Republican,Male,Unknown
,Leonard,,,,06/25/1952,,2,U.S. Representative,Republican,NJ,7,01/06/2009,01/03/2019,Roman Catholic,White,Master's degree,Law,,,,,Did not serve,,,114,,,,,,Lance,,,,,Unknown,Republican,Male,Unknown
,James,,,Jim,04/22/1964,,2,U.S. Representative,Democrat,RI,2,01/20/2001,01/03/2023,Roman Catholic,White,Master's degree,Public service/politics,,,,,Did not serve,,,114,,,,,,Langevin,,,,,Unknown,Democrat,Male,Unknown
,James,,,,03/04/1968,,2,U.S. Senator,Republican,OK,,01/20/2015,01/03/2023,Baptist,White,Master's degree,Clergy,,,,,Did not serve,,,114,,,,,,Lankford,,,,,Unknown,Republican,Male,Unknown
,James,,,,03/04/1968,,2,U.S. Senator,Republican,OK,,01/20/2015,01/03/2029,Baptist,White,Master's degree,Clergy,,,,,Did not serve,,,114,,,,,,Lankford,,,,,Unknown,Republican,Male,Unknown
,Rick,,,,06/15/1965,,2,U.S. Representative,Democrat,WA,2,01/20/2001,01/03/2025,Methodist,White,Master's degree,Business or banking,,,,,Did not serve,,,114,,,,,,Larsen,,,,,Unknown,Democrat,Male,Unknown
,John,B.,,,07/22/1948,,2,U.S. Representative,Democrat,CT,1,01/20/1999,01/03/2025,Roman Catholic,White,Bachelor's degree,Business or banking,,,,,Did not serve,,,114,,,,,,Larson,,,,,Unknown,Democrat,Female,Unknown
,Robert,E.,,Bob,04/18/1956,,2,U.S. Representative,Republican,OH,5,12/13/2007,01/03/2025,Roman Catholic,White,Professional degree,Law,,,,,Did not serve,,,114,,,,,,Latta,,,,,Unknown,Republican,Male,Unknown
,Brenda,,,,10/18/1954,,1,U.S. Representative,Democrat,MI,14,01/20/2015,01/03/2023,Christian,African American,Bachelor's degree,Public service/politics,,,,,Did not serve,,,114,,,,,,Lawrence,,,,,Unknown,Democrat,Male,Unknown
,Patrick,Joseph,,,03/31/1940,,2,U.S. Senator,Democrat,VT,,01/14/1975,01/03/2023,Roman Catholic,White,Professional degree,Law,,,,,Did not serve,,,114,,,,,,Leahy,,,,,Unknown,Democrat,Male,Unknown
,Barbara,,,,07/16/1946,,1,U.S. Representative,Democrat,CA,13,01/20/2013,01/03/2025,Baptist,African American,Master's degree,Congressional Aide,Public service/politics,,,,Did not serve,,,114,,,,,,Lee,,,,,Unknown,Democrat,Male,Unknown
,Mike,,,,06/04/1971,,2,U.S. Senator,Republican,UT,,01/20/2011,01/03/2023,Mormon,White,Professional degree,Law,,,,,Did not serve,,,114,,,,,,Lee,,,,,Unknown,Republican,Male,Unknown
,Mike,,,,06/04/1971,,2,U.S. Senator,Republican,UT,,01/20/2011,01/03/2029,Mormon,White,Professional degree,Law,,,,,Did not serve,,,114,,,,,,Lee,,,,,Unknown,Republican,Male,Unknown
,Sander,Martin,,,09/06/1931,,2,U.S. Representative,Democrat,MI,9,01/03/2013,01/03/2019,Jewish,White,Professional degree,Law,,,,,Did not serve,,,114,,,,,,Levin,,,,,Unknown,Democrat,Male,Unknown
,John,R.,,,02/21/1940,07/17/2020,2,U.S. Representative,Democrat,GA,5,01/06/1987,07/17/2020,Baptist,African American,Bachelor's degree,Public service/politics,,,,,Did not serve,,,114,,,,,,Lewis,,,,,Unknown,Democrat,Male,Unknown
,Ted,,,,03/29/1969,,2,U.S. Representative,Democrat,CA,33,01/20/2015,01/03/2025,Roman Catholic,Asian American,Professional degree,Law,,,,,Air Force,Air Force Reserve,,114,,,,,,Lieu,,,,,Unknown,Democrat,Male,Unknown
,Daniel,William,,,07/15/1966,,2,U.S. Representative,Democrat,IL,3,01/03/2005,01/03/2021,Roman Catholic,White,Doctorate degree,Congressional Aide,Education,,,,Did not serve,,,114,,,,,,Lipinski,,,,,Unknown,Democrat,Male,Unknown
,Frank,A.,,,05/12/1946,,2,U.S. Representative,Republican,NJ,2,01/04/1995,01/03/2019,Roman Catholic,White,Bachelor's degree,Business or banking,,,,,Did not serve,,,114,,,,,,LoBiondo,,,,,Unknown,Republican,Female,Unknown
,David,,,Dave,12/23/1952,,2,U.S. Representative,Democrat,IA,2,01/03/2007,01/03/2021,Methodist,White,Doctorate degree,Education,,,,,Did not serve,,,114,,,,,,Loebsack,,,,,Unknown,Democrat,Male,Unknown
,Zoe,,,,12/21/1947,,1,U.S. Representative,Democrat,CA,19,01/20/2013,01/03/2025,Protestant,White,Professional degree,Education,Law,Public service/politics,,,Did not serve,,,114,,,,,,Lofgren,,,,,Unknown,Democrat,Male,Unknown
,Billy,,,,08/11/1955,,2,U.S. Representative,Republican,MO,7,01/20/2011,01/03/2023,Presbyterian,White,High School graduate,Real Estate,,,,,Did not serve,,,114,,,,,,Long,,,,,Unknown,Republican,Female,Unknown
,Barry,,,,12/22/1963,,2,U.S. Representative,Republican,GA,11,01/20/2015,01/03/2025,Baptist,White,Bachelor's degree,Computers/technology,Construction/building trades,,,,Air Force,,,114,,,,,,Loudermilk,,,,,Unknown,Republican,Male,Unknown
,Mia,,,,12/06/1975,,1,U.S. Representative,Republican,UT,4,01/03/2015,01/03/2019,Mormon,African American,Bachelor's degree,Misc.,,,,,Did not serve,,,114,,,,,,Love,,,,,Unknown,Republican,Female,Unknown
,Alan,,,,03/08/1941,,2,U.S. Representative,Democrat,CA,47,01/20/2013,01/03/2023,Jewish,White,Doctorate degree,Education,Medicine,,,,Did not serve,,,114,,,,,,Lowenthal,,,,,Unknown,Democrat,Female,Unknown
,Nita,M.,,,07/05/1937,,1,U.S. Representative,Democrat,NY,17,01/03/2013,01/03/2021,Jewish,White,Bachelor's degree,Public service/politics,,,,,Did not serve,,,114,,,,,,Lowey,,,,,Unknown,Democrat,Male,Unknown
,Frank,Dean,,,01/06/1960,,2,U.S. Representative,Republican,OK,3,01/20/2003,01/03/2025,Baptist,White,Bachelor's degree,Agriculture,,,,,Did not serve,,,114,,,,,,Lucas,,,,,Unknown,Republican,Male,Unknown
,Blaine,,,,05/07/1952,,2,U.S. Representative,Republican,MO,3,01/20/2013,01/03/2025,Roman Catholic,White,Bachelor's degree,Business or banking,,,,,Did not serve,,,114,,,,,,Luetkemeyer,,,,,Unknown,Republican,Male,Unknown
,Ben,R.,,,06/07/1972,,2,U.S. Representative,Democrat,NM,3,01/20/2009,01/03/2021,Roman Catholic,Hispanic,Bachelor's degree,Public service/politics,,,,,Did not serve,,,114,,,,,,Luján,,,,,Unknown,Democrat,Male,Unknown
,Cynthia,,,,09/10/1954,,1,U.S. Representative,Republican,WY,AL,01/06/2009,01/03/2017,Lutheran,White,Professional degree,Law,,,,,Did not serve,,,114,,,,,,Lummis,,,,,Unknown,Republican,Male,Unknown
,Stephen,F.,,,03/31/1955,,2,U.S. Representative,Democrat,MA,8,01/20/2013,01/03/2025,Roman Catholic,White,Professional degree,Law,Misc.,,,,Did not serve,,,114,,,,,,Lynch,,,,,Unknown,Democrat,Male,Unknown
,Tom,,,,10/16/1960,,2,U.S. Representative,Republican,NJ,3,01/03/2015,01/03/2019,Episcopalian,White,Bachelor's degree,Business or banking,,,,,Did not serve,,,114,,,,,,MacArthur,,,,,Unknown,Republican,Male,Unknown
,Carolyn,B.,,,02/19/1948,,1,U.S. Representative,Democrat,NY,12,01/20/2013,01/03/2023,Presbyterian,White,Bachelor's degree,Education,Public service/politics,,,,Did not serve,,,114,,,,,,Maloney,,,,,Unknown,Democrat,Female,Unknown
,Sean,Patrick,,,07/30/1966,,2,U.S. Representative,Democrat,NY,18,01/20/2013,01/03/2023,Roman Catholic,White,Professional degree,Business or banking,Law,Public service/politics,,,Did not serve,,,114,,,,,,Maloney,,,,,Unknown,Democrat,Male,Unknown
,Joe,,III,,08/24/1947,,2,U.S. Senator,Democrat,WV,,01/20/2013,01/03/2025,Roman Catholic,White,Bachelor's degree,Misc.,,,,,Did not serve,,,114,,,,,,Manchin,,,,,Unknown,Democrat,Male,Unknown
,Kenny,Ewell,,,02/23/1951,,2,U.S. Representative,Republican,TX,24,01/03/2005,01/03/2021,Nazarene,White,Bachelor's degree,Real Estate,,,,,Did not serve,,,114,,,,,,Marchant,,,,,Unknown,Republican,Male,Unknown
,Thomas,Anthony,,,08/13/1962,,2,U.S. Representative,Republican,PA,10,01/03/2011,01/03/2019,Roman Catholic,White,Professional degree,Law,,,,,Did not serve,,,114,,,,,,Marino,,,,,Unknown,Republican,Male,Unknown
,Edward,J.,,,07/11/1946,,2,U.S. Senator,Democrat,MA,,07/16/2013,01/03/2027,Roman Catholic,White,Professional degree,Law,,,,,Army Reserve,,,114,,,,,,Markey,,,,,Unknown,Democrat,Male,Unknown
,Thomas,,,,01/13/1971,,2,U.S. Representative,Republican,KY,4,11/06/2012,01/03/2025,Methodist,White,Master's degree,Agriculture,Business or banking,,,,Did not serve,,,114,,,,,,Massie,,,,,Unknown,Republican,Male,Unknown
,Doris,,,,09/25/1944,,1,U.S. Representative,Democrat,CA,6,01/20/2013,01/03/2025,Methodist,Asian American,Bachelor's degree,Public service/politics,,,,,Did not serve,,,114,,,,,,Matsui,,,,,Unknown,Democrat,Female,Unknown
,John,Sidney,III,,08/29/1936,08/25/2018,2,U.S. Senator,Republican,AZ,,01/06/1987,08/25/2018,Episcopalian,White,Bachelor's degree,Business or banking,Military,,,,Navy,,,114,,,,,,McCain,,,,,Unknown,Republican,Male,Unknown
,Kevin,,,,01/26/1965,,2,U.S. Representative,Republican,CA,23,01/20/2013,12/31/2023,Baptist,White,Master's degree,Congressional Aide,,,,,Did not serve,,,114,,,,,,McCarthy,,,,,Unknown,Republican,Male,Unknown
,Claire,,,,07/24/1953,,1,U.S. Senator,Democrat,MO,,01/03/2007,01/03/2019,Roman Catholic,White,Professional degree,Law,,,,,Did not serve,,,114,,,,,,McCaskill,,,,,Unknown,Democrat,Female,Unknown
,Michael,,,,01/14/1962,,2,U.S. Representative,Republican,TX,10,01/20/2005,01/03/2025,Roman Catholic,White,Professional degree,Law,Public service/politics,,,,Did not serve,,,114,,,,,,McCaul,,,,,Unknown,Republican,Male,Unknown
,Tom,,,,07/10/1956,,2,U.S. Representative,Republican,CA,4,01/06/2009,01/03/2025,Baptist,White,Bachelor's degree,Public service/politics,,,,,Did not serve,,,114,,,,,,McClintock,,,,,Unknown,Republican,Male,Unknown
,Betty,,,,07/12/1954,,1,U.S. Representative,Democrat,MN,4,01/20/2001,01/03/2025,Roman Catholic,White,Bachelor's degree,Public service/politics,,,,,Did not serve,,,114,,,,,,McCollum,,,,,Unknown,Democrat,Male,Unknown
,Addison,Mitchell,,Mitch,02/20/1942,,2,U.S. Senator,Republican,KY,,01/03/1985,01/03/2027,Baptist,White,Professional degree,Congressional Aide,Law,,,,Did not serve,,,114,,,,,,McConnell,,,,,Unknown,Republican,Male,Unknown
,Jim,,,,12/28/1936,,2,U.S. Representative,Democrat,WA,7,01/03/1989,01/03/2017,Episcopalian,White,Professional degree,Medicine,,,,,Navy Medical Corps,,,114,,,,,,McDermott,,,,,Unknown,Democrat,Male,Unknown
,James,P.,,Jim,11/20/1959,,2,U.S. Representative,Democrat,MA,2,01/20/2013,01/03/2025,Roman Catholic,White,Master's degree,Congressional Aide,,,,,Did not serve,,,114,,,,,,McGovern,,,,,Unknown,Democrat,Female,Unknown
,Patrick,T.,,,10/22/1975,,2,U.S. Representative,Republican,NC,10,01/20/2005,01/03/2025,Roman Catholic,White,Bachelor's degree,Law Enforcement,Real Estate,,,,Did not serve,,,114,,,,,,McHenry,,,,,Unknown,Republican,Male,Unknown
,David,B.,,,03/28/1947,,2,U.S. Representative,Republican,WV,1,01/03/2011,01/03/2023,Episcopalian,White,Bachelor's degree,Engineering,,,,,Did not serve,,,114,,,,,,McKinley,,,,,Unknown,Republican,Female,Unknown
,Cathy,,,,05/22/1969,,1,U.S. Representative,Republican,WA,5,01/20/2005,01/03/2025,Christian,White,Master's degree,Agriculture,Public service/politics,,,,Did not serve,,,114,,,,,,McMorris Rodgers,,,,,Unknown,Republican,Male,Unknown
,Jerry,,,,06/18/1951,,2,U.S. Representative,Democrat,CA,9,01/20/2013,01/03/2023,Roman Catholic,White,Doctorate degree,Engineering,,,,,Did not serve,,,114,,,,,,McNerney,,,,,Unknown,Democrat,Male,Unknown
,Martha,E.,,,03/22/1966,,1,U.S. Representative,Republican,AZ,2,01/03/2015,01/03/2019,Christian,White,Master's degree,Education,Military,,,,Air Force,,,114,,,,,,McSally,,,,,Unknown,Republican,Male,Unknown
,Mark,Randall,,,07/28/1959,,2,U.S. Representative,Republican,NC,11,01/03/2013,03/30/2020,Baptist,White,Associate degree,Real Estate,,,,,Did not serve,,,114,,,,,,Meadows,,,,,Unknown,Republican,Male,Unknown
,Pat,,,,10/20/1955,,2,U.S. Representative,Republican,PA,7,01/03/2011,04/27/2018,Roman Catholic,White,Professional degree,Law,,,,,Did not serve,,,114,,,,,,Meehan,,,,,Unknown,Republican,Male,Unknown
,Gregory,,,,09/25/1953,,2,U.S. Representative,Democrat,NY,5,01/20/2013,01/03/2025,Baptist,African American,Professional degree,Law,Public service/politics,,,,Did not serve,,,114,,,,,,Meeks,,,,,Unknown,Democrat,Male,Unknown
,Robert,,,,01/01/1954,,2,U.S. Senator,Democrat,NJ,,01/17/2006,01/03/2025,Roman Catholic,Hispanic,Professional degree,Law,,,,,Did not serve,,,114,,,,,,Menendez,,,,,Unknown,Democrat,Male,Unknown
,Grace,,,,10/01/1975,,1,U.S. Representative,Democrat,NY,6,01/20/2013,01/03/2025,Christian,Asian American,Professional degree,Law,Public service/politics,,,,Did not serve,,,114,,,,,,Meng,,,,,Unknown,Democrat,Male,Unknown
,Jeff,,,,10/24/1956,,2,U.S. Senator,Democrat,OR,,01/20/2009,01/03/2027,Lutheran,White,Master's degree,Public service/politics,,,,,Did not serve,,,114,,,,,,Merkley,,,,,Unknown,Democrat,Male,Unknown
,Luke,,,,02/27/1969,,2,U.S. Representative,Republican,IN,6,01/03/2013,01/03/2019,Presbyterian,White,Professional degree,Congressional Aide,Law,Public service/politics,,,Did not serve,,,114,,,,,,Messer,,,,,Unknown,Republican,Female,Unknown
,John,L.,,,01/27/1943,,2,U.S. Representative,Republican,FL,7,01/05/1993,01/03/2017,Episcopalian,White,Bachelor's degree,Public service/politics,,,,,Did not serve,,,114,,,,,,Mica,,,,,Unknown,Republican,Female,Unknown
,Barbara,A.,,,07/20/1936,,1,U.S. Senator,Democrat,MD,,01/06/1987,01/03/2017,Roman Catholic,White,Master's degree,Public service/politics,,,,,Did not serve,,,114,,,,,,Mikulski,,,,,Unknown,Democrat,Male,Unknown
,Candice,S.,,,05/07/1954,,1,U.S. Representative,Republican,MI,10,01/03/2003,01/03/2017,Presbyterian,White,Unknown,Public service/politics,,,,,Did not serve,,,114,,,,,,Miller,,,,,Unknown,Republican,Male,Unknown
