Results for 108th Congress,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,congress,Results for 109th Congress,Results for 110th Congress,Results for 111th Congress,Results for 112th Congress,Results for 113th Congress,Results for 114th Congress,Results for 115th Congress,Results for 116th Congress,Results for 117th Congress,Results for 118th Congress
,Ted,,,,09/10/1948,,2,U.S. Representative,Republican,TX,2,01/03/2005,01/03/2019,United Church of Christ,White,Professional degree,Education,Law Enforcement,,,,Air Force Reserve,,,112,,,,Poe,,,,,,
,Jared,,,,05/12/1975,,2,U.S. Representative,Democrat,CO,2,01/06/2009,01/03/2019,Jewish,White,Bachelor's degree,Computers/technology,,,,,Did not serve,,,112,,,,Polis,,,,,,
,Mike,,,,12/30/1963,,2,U.S. Representative,Republican,KS,4,01/03/2011,01/23/2017,Presbyterian,White,Professional degree,Law,,,,,U.S. Army,,,112,,,,Pompeo,,,,,,
,Rob,,,,12/19/1955,,2,U.S. Senator,Republican,OH,,01/20/2011,01/03/2023,Methodist,White,Professional degree,Congressional Aide,Law,Public service/politics,,,Did not serve,,,112,,,,Portman,,,,,,
,Bill,,,,12/18/1947,,2,U.S. Representative,Republican,FL,15,01/06/2009,01/03/2013,Methodist,White,Associate degree,Real Estate,,,,,Did not serve,,,112,,,,Posey,,,,,,
,David,E.,,,08/17/1940,,2,U.S. Representative,Democrat,NC,4,01/03/1997,01/03/2023,Baptist,White,Doctorate degree,Education,Public service/politics,,,,Did not serve,,,112,,,,Price,,,,,,
,Tom,,,,10/08/1954,,2,U.S. Representative,Republican,GA,6,01/03/2005,02/10/2017,Presbyterian,White,Professional degree,Medicine,,,,,Did not serve,,,112,,,,Price,,,,,,
,Mark,Lunsford,,,01/10/1963,,2,U.S. Senator,Democrat,AR,,01/03/2003,01/03/2015,Not specified,White,Professional degree,Law,,,,,Did not serve,,,112,,,,Pryor,,,,,,
,Ben,,,,11/05/1976,,2,U.S. Representative,Republican,AZ,3,01/03/2011,01/02/2013,Christian,White,Professional degree,Business or banking,,,,,Did not serve,,,112,,,,Quayle,,,,,,
,Mike,,,,10/17/1958,,2,U.S. Representative,Democrat,IL,5,04/07/2009,01/03/2025,Roman Catholic,White,Professional degree,Education,Law,Public service/politics,,,Did not serve,,,112,,,,Quigley,,,,,,
,Nick,J.,,,05/20/1949,,2,U.S. Representative,Democrat,WV,3,01/05/1993,01/03/2015,Presbyterian,White,Bachelor's degree,Business or banking,Misc.,,,,Did not serve,,,112,,,,Rahall,,,,,,
,Charles,Bernard,,,06/11/1930,,2,U.S. Representative,Democrat,NY,15,01/05/1993,01/03/2013,Roman Catholic,African American,Bachelor's degree,Law,,,,,Army,,,112,,,,Rangel,,,,,,
,John,F.,,Jack,11/12/1949,,2,U.S. Senator,Democrat,RI,,01/03/1997,01/03/2027,Roman Catholic,White,Professional degree,Education,Law,,,,Army,,,112,,,,Reed,,,,,,
,Tom,W.,II,,11/18/1971,,2,U.S. Representative,Republican,NY,29,11/18/2010,01/03/2013,Roman Catholic,White,Professional degree,Law,Real Estate,,,,Did not serve,,,112,,,,Reed,,,,,,
,Dennis,R,,,10/05/1955,,2,U.S. Representative,Republican,MT,AL,01/03/2001,01/03/2013,Episcopalian,White,Bachelor's degree,Real Estate,,,,,Did not serve,,,112,,,,Rehberg,,,,,,
,David,,,Dave,08/29/1950,,2,U.S. Representative,Republican,WA,8,01/03/2005,01/03/2019,Lutheran,White,Bachelor's degree,Law Enforcement,,,,,Air Force,Air Force Reserve,,112,,,,Reichert,,,,,,
,Harry,M.,,,12/02/1939,12/28/2021,2,U.S. Senator,Democrat,NV,,01/06/1987,01/03/2017,Mormon,White,Professional degree,Law,Public service/politics,,,,Did not serve,,,112,,,,Reid,,,,,,
,Jim,,,,12/03/1958,,2,U.S. Representative,Republican,OH,16,01/03/2011,01/03/2019,Roman Catholic,White,Bachelor's degree,Business or banking,,,,,Did not serve,,,112,,,,Renacci,,,,,,
,Silvestre,,,,11/10/1944,,2,U.S. Representative,Democrat,TX,16,01/07/1997,01/03/2013,Roman Catholic,Hispanic,Associate degree,Law Enforcement,,,,,Army,,,112,,,,Reyes,,,,,,
,Reid,,,,04/05/1956,,2,U.S. Representative,Republican,WI,8,01/03/2011,01/03/2017,Baptist,White,High School graduate,Construction/building trades,,,,,Did not serve,,,112,,,,Ribble,,,,,,
,Laura,,,,04/14/1962,,1,U.S. Representative,Democrat,CA,37,09/04/2007,01/03/2013,Christian,African American,Master's degree,Business or banking,Congressional Aide,,,,Did not serve,,,112,,,,Richardson,,,,,,
,Cedric,L.,,,09/13/1973,,2,U.S. Representative,Democrat,LA,2,01/20/2011,01/15/2021,Baptist,African American,Professional degree,Law,,,,,Did not serve,,,112,,,,Richmond,,,,,,
,Scott,,,,05/28/1960,,2,U.S. Representative,Republican,VA,2,01/03/2011,01/03/2017,Protestant,White,Master's degree,Business or banking,,,,,U.S. Marine Corps Reserve,,,112,,,,Rigell,,,,,,
,Jim,,,,05/03/1943,,2,U.S. Senator,Republican,ID,,01/20/2009,01/03/2027,Roman Catholic,White,Professional degree,Law,,,,,Did not serve,,,112,,,,Risch,,,,,,
,David,,,,09/16/1956,,2,U.S. Representative,Republican,FL,25,01/03/2011,01/02/2013,Roman Catholic,Hispanic,Bachelor's degree,Business or banking,,,,,Did not serve,,,112,,,,Rivera,,,,,,
,Charles,Patrick,,Pat,04/20/1936,,2,U.S. Senator,Republican,KS,,01/07/1997,01/03/2021,Methodist,White,Bachelor's degree,Congressional Aide,Journalism,,,,Marine Corps,,,112,,,,Roberts,,,,,,
,Martha,,,,07/26/1976,,1,U.S. Representative,Republican,AL,2,01/03/2011,01/03/2021,Presbyterian,White,Professional degree,Law,,,,,Did not serve,,,112,,,,Roby,,,,,,
,John,D.,,Jay,06/18/1937,,2,U.S. Senator,Democrat,WV,,01/03/1985,01/03/2015,Presbyterian,White,Bachelor's degree,Education,Public service/politics,,,,Did not serve,,,112,,,,Rockefeller,,,,,,
,David,P.,,Phil,07/21/1945,,2,U.S. Representative,Republican,TN,1,01/03/2009,01/03/2021,United Methodist,White,Professional degree,Medicine,,,,,Army Medical Corps,,,112,,,,Roe,,,,,,
,Harold,Dallas,,,12/31/1937,,2,U.S. Representative,Republican,KY,5,01/03/1981,01/03/2025,Baptist,White,Professional degree,Law,,,,,National Guard,,,112,,,,Rogers,,,,,,
,Michael,Dennis,,Mike,07/16/1958,,2,U.S. Representative,Republican,AL,3,01/20/2003,01/03/2025,Baptist,White,Professional degree,Law,,,,,Did not serve,,,112,,,,Rogers,,,,,,
,Mike,,,,06/02/1963,,2,U.S. Representative,Republican,MI,8,01/03/2001,01/03/2015,Methodist,White,Bachelor's degree,Business or banking,,,,,Did not serve,,,112,,,,Rogers,,,,,,
,Dana,,,,06/21/1947,,2,U.S. Representative,Republican,CA,46,01/03/2003,01/03/2013,Baptist,White,Master's degree,Journalism,Public service/politics,,,,Did not serve,,,112,,,,Rohrabacher,,,,,,
,Dana,,,,06/21/1947,,2,U.S. Representative,Republican,CA,45,01/05/1993,01/03/2003,Baptist,White,Master's degree,Journalism,Public service/politics,,,,Did not serve,,,112,,,,Rohrabacher,,,,,,
,Todd,,,,02/09/1970,,2,U.S. Representative,Republican,IN,4,01/03/2011,01/03/2019,Roman Catholic,White,Professional degree,Law,,,,,Did not serve,,,112,,,,Rokita,,,,,,
,Thomas,J.,,,11/21/1970,,2,U.S. Representative,Republican,FL,16,01/06/2009,01/03/2013,Roman Catholic,White,Professional degree,Law,,,,,Army,,,112,,,,Rooney,,,,,,
,Peter,,,,09/13/1961,,2,U.S. Representative,Republican,IL,6,01/03/2007,01/03/2019,Anglican,White,Professional degree,Law,,,,,Did not serve,,,112,,,,Roskam,,,,,,
,Ileana,,,,07/12/1952,,1,U.S. Representative,Republican,FL,18,08/29/1989,01/03/2013,Roman Catholic,Hispanic,Professional degree,Business or banking,Education,Public service/politics,,,Did not serve,,,112,,,,Ros-Lehtinen,,,,,,
,Dennis,,,,10/18/1959,,2,U.S. Representative,Republican,FL,12,01/03/2011,01/02/2013,Presbyterian,White,Professional degree,Law,,,,,Did not serve,,,112,,,,Ross,,,,,,
,Mike,,,,08/02/1961,,2,U.S. Representative,Democrat,AR,4,01/03/2001,01/03/2013,Methodist,White,Bachelor's degree,Medicine,,,,,Did not serve,,,112,,,,Ross,,,,,,
,Steven,R.,,,10/14/1952,,2,U.S. Representative,Democrat,NJ,9,01/07/1997,01/03/2013,Jewish,White,Professional degree,Law,,,,,Did not serve,,,112,,,,Rothman,,,,,,
,Lucille,,,,06/12/1941,,1,U.S. Representative,Democrat,CA,34,01/03/2003,01/03/2013,Roman Catholic,Hispanic,Bachelor's degree,Public service/politics,,,,,Did not serve,,,112,,,,Roybal-Allard,,,,,,
,Edward,R.,,Ed,10/12/1951,,2,U.S. Representative,Republican,CA,40,01/03/2003,01/03/2013,Roman Catholic,White,Bachelor's degree,Business or banking,,,,,Did not serve,,,112,,,,Royce,,,,,,
,Marco,,,,05/28/1971,,2,U.S. Senator,Republican,FL,,01/20/2011,01/03/2023,Roman Catholic,Hispanic,Professional degree,Law,,,,,Did not serve,,,112,,,,Rubio,,,,,,
,Marco,,,,05/28/1971,,2,U.S. Senator,Republican,FL,,01/20/2011,01/03/2029,Roman Catholic,Hispanic,Professional degree,Law,,,,,Did not serve,,,112,,,,Rubio,,,,,,
,Jon,,,,11/27/1973,,2,U.S. Representative,Republican,NJ,3,01/03/2011,01/02/2015,Roman Catholic,White,Unknown,Sports,,,,,Did not serve,,,112,,,,Runyan,,,,,,
,Charles,A.,III,Dutch,01/31/1946,,2,U.S. Representative,Democrat,MD,2,01/20/2003,01/03/2025,Christian,White,Professional degree,Law,,,,,Did not serve,,,112,,,,Ruppersberger,,,,,,
,Bobby,L.,,,11/23/1946,,2,U.S. Representative,Democrat,IL,1,01/03/1993,01/03/2023,Protestant,African American,Master's degree,Business or banking,Public service/politics,,,,Army,,,112,,,,Rush,,,,,,
,Paul,D.,,,01/29/1970,,2,U.S. Representative,Republican,WI,1,01/03/1999,01/03/2019,Roman Catholic,White,Bachelor's degree,Business or banking,Congressional Aide,,,,Did not serve,,,112,,,,Ryan,,,,,,
,Timothy,J.,,Tim,07/16/1973,,2,U.S. Representative,Democrat,OH,17,01/03/2003,01/03/2013,Roman Catholic,White,Professional degree,Congressional Aide,,,,,Did not serve,,,112,,,,Ryan,,,,,,
,Loretta,,,,01/07/1960,,1,U.S. Representative,Democrat,CA,47,01/03/2003,01/03/2013,Roman Catholic,Hispanic,Master's degree,Business or banking,,,,,Did not serve,,,112,,,,Sanchez,,,,,,
,Linda,T.,,,01/28/1969,,1,U.S. Representative,Democrat,CA,39,01/03/2003,01/03/2013,Roman Catholic,Hispanic,Professional degree,Law,,,,,Did not serve,,,112,,,,Sánchez,,,,,,
,Bernard,,,Bernie,09/08/1941,,2,U.S. Senator,Independent,VT,,01/20/2007,01/03/2025,Jewish,White,Bachelor's degree,Education,Journalism,,,,Did not serve,,,112,,,,Sanders,,,,,,
,John,,,,05/22/1962,,2,U.S. Representative,Democrat,MD,3,01/20/2007,01/03/2025,Greek Orthodox,White,Professional degree,Law,,,,,Did not serve,,,112,,,,Sarbanes,,,,,,
,Steven,Joseph,,Steve,10/06/1965,,2,U.S. Representative,Republican,LA,1,05/03/2008,01/03/2025,Roman Catholic,White,Bachelor's degree,Computers/technology,,,,,Did not serve,,,112,,,,Scalise,,,,,,
,Janice,D.,,Jan,05/26/1944,,1,U.S. Representative,Democrat,IL,9,01/20/1999,01/03/2025,Jewish,White,Bachelor's degree,Public service/politics,,,,,Did not serve,,,112,,,,Schakowsky,,,,,,
,Brian,,,,10/20/1972,,2,U.S. Senator,Democrat,HI,,12/27/2012,01/03/2023,Jewish,White,Bachelor's degree,Education,Public service/politics,,,,Did not serve,,,112,,,,Schatz,,,,,,
,Brian,,,,10/20/1972,,2,U.S. Senator,Democrat,HI,,12/27/2012,01/03/2029,Jewish,White,Bachelor's degree,Education,Public service/politics,,,,Did not serve,,,112,,,,Schatz,,,,,,
,Adam,B.,,,06/22/1960,,2,U.S. Representative,Democrat,CA,29,01/03/2003,01/03/2013,Jewish,White,Professional degree,Law,Public service/politics,,,,Did not serve,,,112,,,,Schiff,,,,,,
,Bobby,,,,01/23/1964,,2,U.S. Representative,Republican,IL,17,01/03/2011,01/02/2013,Roman Catholic,White,High School graduate,Business or banking,,,,,Did not serve,,,112,,,,Schilling,,,,,,
,Jean,,,,11/29/1951,,1,U.S. Representative,Republican,OH,2,09/06/2005,01/03/2013,Roman Catholic,White,Bachelor's degree,Education,,,,,Did not serve,,,112,,,,Schmidt,,,,,,
,Aaron,,,,05/28/1981,,2,U.S. Representative,Republican,IL,18,01/06/2009,03/31/2015,Baptist,White,Bachelor's degree,Real Estate,,,,,Did not serve,,,112,,,,Schock,,,,,,
,Kurt,,,,10/19/1951,,2,U.S. Representative,Democrat,OR,5,01/06/2009,01/03/2023,Episcopalian,White,Professional degree,Medicine,,,,,Did not serve,,,112,,,,Schrader,,,,,,
,Charles,Ellis,,,11/23/1950,,2,U.S. Senator,Democrat,NY,,01/20/1999,01/03/2023,Jewish,White,Professional degree,Law,Public service/politics,,,,Did not serve,,,112,,,,Schumer,,,,,,
,Charles,Ellis,,,11/23/1950,,2,U.S. Senator,Democrat,NY,,01/20/1999,01/03/2029,Jewish,White,Professional degree,Law,Public service/politics,,,,Did not serve,,,112,,,,Schumer,,,,,,
,Allyson,,,,10/03/1948,,1,U.S. Representative,Democrat,PA,13,01/03/2005,01/03/2015,Jewish,White,Master's degree,Misc.,,,,,Did not serve,,,112,,,,Schwartz,,,,,,
,David,,,,03/03/1962,,2,U.S. Representative,Republican,AZ,5,01/03/2011,01/02/2013,Roman Catholic,White,Master's degree,Real Estate,,,,,Did not serve,,,112,,,,Schweikert,,,,,,
,Austin,,,,12/10/1969,,2,U.S. Representative,Republican,GA,8,01/20/2011,01/03/2025,Baptist,White,Bachelor's degree,Business or banking,,,,,Did not serve,,,112,,,,Scott,,,,,,
,David,Albert,,Dave,06/27/1946,,2,U.S. Representative,Democrat,GA,13,01/20/2003,01/03/2025,Baptist,African American,Master's degree,Business or banking,,,,,Did not serve,,,112,,,,Scott,,,,,,
,Robert,Cortez,,Bobby,04/30/1947,,2,U.S. Representative,Democrat,VA,3,01/03/1993,01/03/2025,Episcopalian,African American,Professional degree,Law,,,,,Army Reserve,National Guard,,112,,,,Scott,,,,,,
,Tim,,,,09/19/1965,,2,U.S. Representative,Republican,SC,1,01/03/2011,01/02/2013,Christian,African American,Bachelor's degree,Business or banking,,,,,Did not serve,,,112,,,,Scott,,,,,,
,F.,James,Jr.,,06/14/1943,,2,U.S. Representative,Republican,WI,5,01/03/2003,01/03/2021,Episcopalian,White,Professional degree,Congressional Aide,Law,,,,Did not serve,,,112,,,,Sensenbrenner,,,,,,
,José,E.,,,10/24/1943,,2,U.S. Representative,Democrat,NY,16,01/05/1993,01/03/2013,Roman Catholic,Hispanic,High School graduate,Business or banking,Public service/politics,,,,Army Medical Corps,,,112,,,,Serrano,,,,,,
,Jefferson,Beauregard,III,Jeff,12/24/1946,,2,U.S. Senator,Republican,AL,,01/07/1997,02/08/2017,Methodist,White,Professional degree,Law,Public service/politics,,,,Army Reserve,,,112,,,,Sessions,,,,,,
,Pete,,,,03/22/1955,,2,U.S. Representative,Republican,TX,32,01/03/2003,01/03/2019,United Methodist,White,Bachelor's degree,Business or banking,Public service/politics,,,,Did not serve,,,112,,,,Sessions,,,,,,
,Terri,A.,,,01/01/1965,,1,U.S. Representative,Democrat,AL,7,01/20/2011,01/03/2025,Christian,African American,Professional degree,Law,,,,,Did not serve,,,112,,,,Sewell,,,,,,
,Jeanne,,,,01/28/1947,,1,U.S. Senator,Democrat,NH,,01/20/2009,01/03/2027,Protestant,White,Master's degree,Education,,,,,Did not serve,,,112,,,,Shaheen,,,,,,
,Richard,C.,,,05/06/1934,,2,U.S. Senator,Republican,AL,,01/03/1995,01/03/2023,Presbyterian,White,Professional degree,Law,Public service/politics,,,,Did not serve,,,112,,,,Shelby,,,,,,
,Brad,,,,10/24/1954,,2,U.S. Representative,Democrat,CA,27,01/03/2003,01/03/2013,Jewish,White,Professional degree,Business or banking,Law,Public service/politics,,,Did not serve,,,112,,,,Sherman,,,,,,
,John,M.,,,02/21/1958,,2,U.S. Representative,Republican,IL,19,01/03/2003,01/03/2013,Lutheran,White,Bachelor's degree,Education,Military,Public service/politics,,,Army,Reserve,Reserve,112,,,,Shimkus,,,,,,
,Heath,,,,12/31/1971,,2,U.S. Representative,Democrat,NC,11,01/03/2007,01/03/2013,Baptist,White,Bachelor's degree,Business or banking,,,,,Did not serve,,,112,,,,Shuler,,,,,,
,William,,,Bill,01/10/1961,,2,U.S. Representative,Republican,PA,9,05/17/2001,01/03/2019,Lutheran,White,Professional degree,Business or banking,,,,,Did not serve,,,112,,,,Shuster,,,,,,
,Michael,K.,,Mike,09/08/1950,,2,U.S. Representative,Republican,ID,2,01/20/1999,01/03/2025,Mormon,White,Professional degree,Medicine,,,,,Did not serve,,,112,,,,Simpson,,,,,,
,Albio,,,,01/26/1951,,2,U.S. Representative,Democrat,NJ,13,11/13/2006,01/03/2013,Roman Catholic,Hispanic,Master's degree,Business or banking,,,,,Did not serve,,,112,,,,Sires,,,,,,
,Louise,M.,,,08/14/1929,03/16/2018,1,U.S. Representative,Democrat,NY,28,01/05/1993,01/03/2013,Episcopalian,White,Master's degree,Misc.,Public service/politics,,,,Did not serve,,,112,,,,Slaughter,,,,,,
,Adam,,,,06/15/1965,,2,U.S. Representative,Democrat,WA,9,01/03/1997,01/03/2025,Christian,White,Professional degree,Law,,,,,Did not serve,,,112,,,,Smith,,,,,,
,Adrian,,,,12/19/1970,,2,U.S. Representative,Republican,NE,3,01/20/2007,01/03/2025,Christian,White,Bachelor's degree,Real Estate,,,,,Did not serve,,,112,,,,Smith,,,,,,
,Christopher,H.,,,03/04/1953,,2,U.S. Representative,Republican,NJ,4,01/03/1981,01/03/2025,Roman Catholic,White,Bachelor's degree,Business or banking,,,,,Did not serve,,,112,,,,Smith,,,,,,
,Lamar,Seeligson,,,11/19/1947,,2,U.S. Representative,Republican,TX,21,01/06/1987,01/03/2019,Christian Scientist,White,Professional degree,Journalism,Law,,,,Did not serve,,,112,,,,Smith,,,,,,
,Olympia,Jean,,,02/21/1947,,1,U.S. Senator,Republican,ME,,01/04/1995,01/03/2013,Greek Orthodox,White,Bachelor's degree,Business or banking,Public service/politics,,,,Did not serve,,,112,,,,Snowe,,,,,,
,Steve,,,,10/10/1965,,2,U.S. Representative,Republican,FL,2,01/03/2011,01/02/2015,Southern Baptist,White,Associate degree,Business or banking,,,,,Did not serve,,,112,,,,Southerland,,,,,,
,Karen,Jacqueline,,Jackie,05/14/1950,,1,U.S. Representative,Democrat,CA,12,04/08/2008,01/03/2013,Roman Catholic,White,Professional degree,Law,,,,,Did not serve,,,112,,,,Speier,,,,,,
,Deborah,Ann,,Debbie,04/29/1950,,1,U.S. Senator,Democrat,MI,,01/03/2001,01/03/2025,United Methodist,White,Master's degree,Business or banking,,,,,Did not serve,,,112,,,,Stabenow,,,,,,
,Fortney,Hillman,,Pete,11/11/1931,01/24/2020,2,U.S. Representative,Democrat,CA,13,01/05/1993,01/03/2013,Unitarian,White,Master's degree,Business or banking,,,,,Air Force,,,112,,,,Stark,,,,,,
,Clifford,B.,,Cliff,04/16/1941,,2,U.S. Representative,Republican,FL,6,01/03/1989,01/03/2013,Presbyterian,White,Bachelor's degree,Business or banking,,,,,Air Force,,,112,,,,Stearns,,,,,,
,Steve,,,,03/24/1965,,2,U.S. Representative,Republican,OH,15,01/20/2011,05/16/2021,United Methodist,White,Master's degree,Business or banking,,,,,OH Army National Guard,,,112,,,,Stivers,,,,,,
,Marlin,,,,08/31/1976,,2,U.S. Representative,Republican,IN,3,01/03/2011,01/03/2017,Baptist,White,Unknown,Agriculture,Misc.,,,,Did not serve,,,112,,,,Stutzman,,,,,,
,John,,,,01/01/1965,,2,U.S. Representative,Republican,OK,1,02/15/2002,01/03/2013,Roman Catholic,White,Bachelor's degree,Construction/building trades,Misc.,Real Estate,,,Did not serve,,,112,,,,Sullivan,,,,,,
,Betty,,,,07/31/1963,,1,U.S. Representative,Democrat,OH,13,01/03/2007,01/03/2013,Methodist,White,Professional degree,Law,,,,,Did not serve,,,112,,,,Sutton,,,,,,
,Lee,Raymond,,,01/29/1962,,2,U.S. Representative,Republican,NE,2,01/03/1999,01/03/2015,Methodist,White,Professional degree,Law,,,,,Did not serve,,,112,,,,Terry,,,,,,
,Jon,,,,08/21/1956,,2,U.S. Senator,Democrat,MT,,01/20/2007,01/03/2025,Church of God,White,Bachelor's degree,Agriculture,,,,,Did not serve,,,112,,,,Tester,,,,,,
,Bennie,G.,,,01/28/1948,,2,U.S. Representative,Democrat,MS,2,04/13/1993,01/03/2025,Methodist,African American,Master's degree,Education,,,,,Did not serve,,,112,,,,Thompson,,,,,,
,Glenn,William,Jr.,G.T.,07/27/1959,,2,U.S. Representative,Republican,PA,5,01/06/2009,01/03/2019,Church of Christ,White,Master's degree,Medicine,,,,,Did not serve,,,112,,,,Thompson,,,,,,
,Michael,,,Mike,01/24/1951,,2,U.S. Representative,Democrat,CA,1,01/03/1999,01/03/2013,Roman Catholic,White,Master's degree,Agriculture,,,,,Did not serve,,,112,,,,Thompson,,,,,,
,William,M.,,Mac,07/15/1958,,2,U.S. Representative,Republican,TX,13,01/03/1995,01/03/2021,Presbyterian,White,Master's degree,Agriculture,Congressional Aide,Law,,,Did not serve,,,112,,,,Thornberry,,,,,,
,John,,,,01/07/1961,,2,U.S. Senator,Republican,SD,,01/20/2005,01/03/2023,Protestant,White,Master's degree,Business or banking,Congressional Aide,Public service/politics,,,Did not serve,,,112,,,,Thune,,,,,,
,John,,,,01/07/1961,,2,U.S. Senator,Republican,SD,,01/20/2005,01/03/2029,Protestant,White,Master's degree,Business or banking,Congressional Aide,Public service/politics,,,Did not serve,,,112,,,,Thune,,,,,,
,Patrick,,,Pat,10/21/1962,,2,U.S. Representative,Republican,OH,12,01/03/2001,01/15/2018,Roman Catholic,White,Bachelor's degree,Public service/politics,,,,,Did not serve,,,112,,,,Tiberi,,,,,,
,John,F.,,,09/18/1951,,2,U.S. Representative,Democrat,MA,6,01/07/1997,01/03/2015,Not specified,White,Professional degree,Law,Public service/politics,,,,Did not serve,,,112,,,,Tierney,,,,,,
,Scott,,,,11/09/1956,,2,U.S. Representative,Republican,CO,3,01/03/2011,01/03/2021,Anglican,White,Bachelor's degree,Business or banking,,,,,Did not serve,,,112,,,,Tipton,,,,,,
,Paul,,,,06/18/1949,,2,U.S. Representative,Democrat,NY,21,01/06/2009,01/03/2013,Roman Catholic,White,Bachelor's degree,Engineering,,,,,Did not serve,,,112,,,,Tonko,,,,,,
,Patrick,Joseph,,Pat,11/17/1961,,2,U.S. Senator,Republican,PA,,01/20/2011,01/03/2023,Roman Catholic,White,Bachelor's degree,Business or banking,,,,,Did not serve,,,112,,,,Toomey,,,,,,
,Edolphus,,,,07/21/1934,,2,U.S. Representative,Democrat,NY,10,01/05/1993,01/03/2013,Presbyterian,African American,Master's degree,Education,Medicine,,,,Army,,,112,,,,Towns,,,,,,
,Nicola,S.,,Niki,04/26/1946,,1,U.S. Representative,Democrat,MA,5,10/18/2007,01/03/2013,Episcopalian,White,Professional degree,Education,Law,Misc.,,,Did not serve,,,112,,,,Tsongas,,,,,,
,Bob,,,,05/02/1941,,2,U.S. Representative,Republican,NY,9,09/13/2011,01/02/2013,Roman Catholic,White,Bachelor's degree,Business or banking,,,,,U.S. Army,,,112,,,,Turner,,,,,,
,Michael,R.,,,01/11/1960,,2,U.S. Representative,Republican,OH,3,01/03/2003,01/03/2013,Christian,White,Professional degree,Law,,,,,Did not serve,,,112,,,,Turner,,,,,,
,Mark,,,,07/18/1950,,2,U.S. Senator,Democrat,CO,,01/06/2009,01/03/2015,Not specified,White,Bachelor's degree,Misc.,,,,,Did not serve,,,112,,,,Udall,,,,,,
,Thomas,,,Tom,05/18/1948,,2,U.S. Senator,Democrat,NM,,01/06/2009,01/03/2021,Mormon,White,Professional degree,,,,,,Did not serve,,,112,,,,Udall,,,,,,
,Frederick,S.,,Fred,04/23/1953,,2,U.S. Representative,Republican,MI,6,01/05/1993,01/03/2023,Protestant,White,Bachelor's degree,Congressional Aide,Public service/politics,,,,Did not serve,,,112,,,,Upton,,,,,,
,Christopher,,Jr.,Chris,01/10/1959,,2,U.S. Representative,Democrat,MD,8,01/03/2003,01/03/2017,Episcopalian,White,Professional degree,Public service/politics,,,,,Did not serve,,,112,,,,Van Hollen,,,,,,
,Nydia,M.,,,03/22/1953,,1,U.S. Representative,Democrat,NY,12,01/05/1993,01/03/2013,Roman Catholic,Hispanic,Master's degree,Congressional Aide,Education,,,,Did not serve,,,112,,,,Velázquez,,,,,,
,Peter,John,,,08/13/1949,,2,U.S. Representative,Democrat,IN,1,01/03/1985,01/03/2021,Roman Catholic,White,Professional degree,Congressional Aide,Law,,,,Did not serve,,,112,,,,Visclosky,,,,,,
,David,,,,05/03/1961,,2,U.S. Senator,Republican,LA,,01/03/2005,01/03/2017,Roman Catholic,White,Professional degree,Law,,,,,Did not serve,,,112,,,,Vitter,,,,,,
,Timothy,,,Tim,04/12/1951,,2,U.S. Representative,Republican,MI,7,01/20/2011,01/03/2025,Protestant,White,Master's degree,Clergy,,,,,Did not serve,,,112,,,,Walberg,,,,,,
,Greg,,,,01/10/1957,,2,U.S. Representative,Republican,OR,2,01/03/1999,01/03/2021,Episcopalian,White,Bachelor's degree,Business or banking,,,,,Did not serve,,,112,,,,Walden,,,,,,
,Joe,,,,12/27/1961,,2,U.S. Representative,Republican,IL,8,01/03/2011,01/02/2013,Roman Catholic,White,Master's degree,Education,,,,,Did not serve,,,112,,,,Walsh,,,,,,
,Timothy,J.,,Tim,04/06/1964,,2,U.S. Representative,Democrat,MN,1,01/03/2007,01/03/2019,Lutheran,White,Master's degree,Education,,,,,Neb. National Guard,,,112,,,,Walz,,,,,,
,Mark,R.,,,12/15/1954,,2,U.S. Senator,Democrat,VA,,01/20/2009,01/03/2027,Presbyterian,White,Professional degree,Computers/technology,,,,,Did not serve,,,112,,,,Warner,,,,,,
,Debbie,,,,09/27/1966,,1,U.S. Representative,Democrat,FL,20,01/03/2005,01/03/2013,Jewish,White,Master's degree,Education,,,,,Did not serve,,,112,,,,Wasserman-Schultz,,,,,,
,Maxine,,,,08/31/1938,,1,U.S. Representative,Democrat,CA,35,01/04/1993,01/03/2013,Christian,African American,Bachelor's degree,Public service/politics,,,,,Did not serve,,,112,,,,Waters,,,,,,
,Melvin,L.,,,08/26/1945,,2,U.S. Representative,Democrat,NC,12,01/05/1993,01/06/2014,Presbyterian,African American,Professional degree,Business or banking,Law,,,,Did not serve,,,112,,,,Watt,,,,,,
,Henry,Arnold,,,09/12/1939,,2,U.S. Representative,Democrat,CA,30,01/03/2003,01/03/2013,Jewish,White,Professional degree,Law,,,,,Did not serve,,,112,,,,Waxman,,,,,,
,Jim,,,,02/09/1946,,2,U.S. Senator,Democrat,VA,,01/03/2007,01/03/2013,Protestant,White,Professional degree,Public service/politics,,,,,Marine Corps,Minn. National Guard,,112,,,,Webb,,,,,,
